terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,fernandez_huerta,szigriszt_pazos,gutierrez_polini,crawford,gulpease_index,osman
PATENT,"Exclusive rights that are granted by a government authority to the designer or inventor of an innovative product or service, generally for a speci- fied period of time (e.g., the WORLD TRADE ORGANIZATION recommends a minimum of 20 years). A patent is typically classified on the BALANCE SHEET as an INTANGIBLE.",palgrave,0,28.67,15.6,0.0,11.55,15.3,12.33,16,19.75,20.4,15th and 16th grade,72.8,71.39,38.54,4.4,49.7843137254902,45.94
Inflationary Gap,An inflationary gap is a macroeconomic concept that measures the difference between the current level of real gross domestic product (GDP) and the GDP that would exist if an economy was operating at full employment.,investopedia,1,27.49,18.1,0.0,12.95,20.6,11.69,11,24.5,20.86,20th and 21st grade,69.1,66.82,33.34,4.3,45.5714285714286,34.0
Goal-Based Investing,"Goal-based investing is a relatively new approach to wealth management that emphasizes investing with the objective of attaining specific life goals. Goal-based investing (GBI) involves a wealth manager or investment firm’s clients measuring their progress towards specific life goals, such as saving for children’s education or building a retirement nest-egg, rather than focusing on generating the highest possible portfolio return or beating the market.",investopedia,1,22.08,18.1,0.0,18.46,23.8,11.39,20,25.5,21.55,17th and 18th grade,66.2,61.92,25.19,4.8,36.34375,7.73
Capital markets,"@also  financial mar-kets @.    nancial resources @money, bonds, stocks@ are traded. These, along with   nan-cial intermediaries,  are institutions through which saving in the econ-omy is transferred to investors.     Capital-output ratio.    In economic-growth theory, the ratio of the total capital stock to annual GDP.     ",sam,1,-9.07,19.7,0.0,16.71,18.8,14.08,15,10.1666666666667,14.11,19th and 20th grade,47.4,41.95,31.04,6.9,40.1904761904762,22.88
Return on Net Assets (RONA),Return on net assets (RONA) is a measure of financial performance calculated as net profit divided by the sum of fixed assets and net working capital. Net profit is also called net income.,investopedia,1,54.73,9.7,0.0,9.16,9.1,9.24,7,10.75,11.45,9th and 10th grade,94.0,90.28,44.75,3.2,59.9090909090909,62.41
Floating Exchange Rate,"A floating exchange rate is a regime where the currency price of a nation is set by the forex market based on supply and demand relative to other currencies. This is in contrast to a fixed exchange rate, in which the government entirely or predominantly determines the rate.",investopedia,1,55.58,11.5,0.0,10.1,12.8,9.76,11,15.5,14.6,9th and 10th grade,92.4,88.09,41.53,3.2,54.2083333333333,56.53
FIFO,The first-in first-out accounting method of inventory valuation.,zvi,0,29.52,11.1,0.0,19.5,16.2,11.93,3,6.0,18.2,11th and 12th grade,78.7,74.24,26.93,3.8,55.25,11.31
OAS,See OPTION-ADJUSTED SPREAD.,palgrave,0,9.21,12.7,0.0,18.92,19.3,14.31,2,1.5,14.53,12th and 13th grade,65.8,58.47,19.78,1.2,105.666666666667,4.3
Cash Surrender Value,"The cash surrender value is the sum of money an insurance company pays to a policyholder or an annuity contract owner in the event that their policy is voluntarily terminated before its maturity or an insured event occurs. This cash value is the savings component of most permanent life insurance policies, particularly whole life insurance policies. It is also known as ""cash value,"" ""surrender value,"" and ""policyholder's equity.""",investopedia,1,31.51,14.5,16.7,13.23,15.3,9.17,17,17.0,16.73,16th and 17th grade,75.7,70.56,36.77,4.6,48.2647058823529,42.3
Joint,Joint is a legal term describing a transaction or agreement where two or more parties act in unison.,investopedia,1,70.13,8.0,0.0,8.87,9.3,10.67,6,11.0,11.64,10th and 11th grade,104.5,98.85,44.71,2.5,59.5555555555556,68.33
Open data,Data exempt from U.S. copyright laws and free for everyone to use without restriction.,9_12_louis,1,57.27,8.8,0.0,11.13,10.1,12.23,4,8.0,8.46,8th and 9th grade,96.6,94.94,41.8,2.8,58.2857142857143,60.49
Garnishment,"Garnishment, or wage garnishment, is when money is legally withheld from your paycheck and sent to another party. It refers to a legal process that instructs a third party to deduct payments directly from a debtor’s wage or bank account.",investopedia,1,59.64,9.9,0.0,10.85,11.9,9.76,8,12.0,10.0,9th and 10th grade,96.4,96.5,41.16,2.7,54.5,55.96
BLUE SKY LAWS,"In the United States, state SECURITIES laws intended to pro- tect INVESTORS against FRAUD by BANKS, BROKER/DEALERS, SECURITIES FIRMS, INVESTMENT ADVISORS, or other FIDUCIARIES.",palgrave,0,30.2,15.0,0.0,18.05,20.6,14.04,8,19.0,17.93,14th and 15th grade,74.4,71.21,28.2,4.5,37.75,19.25
PRIMACY,"In INSURANCE, a rule that indicates which specific insurance coverage takes precedence when multiple coverage exists, in order to avoid dis- pute or conflict. See also APPORTIONMENT, DIVIDED COVER, OVERLAPPING INSURANCE, PRO-RATA.",palgrave,0,21.4,14.3,0.0,16.88,15.9,12.82,12,14.0,16.4,13th and 14th grade,70.5,68.18,32.01,5.0,45.5625,29.64
Bitcoin Cash,"Bitcoin cash is a cryptocurrency created in August 2017, from a fork of Bitcoin.﻿﻿ Bitcoin Cash increased the size of blocks, allowing more transactions to be processed and improving scalability.",investopedia,1,32.57,16.2,0.0,14.63,19.6,10.91,9,21.0,20.0,19th and 20th grade,74.3,70.93,32.32,4.2,43.6666666666667,30.9
EXECUTION RATE,The amount of trades that are CROSSED once MATCHED within a DARK POOL or on an EXCHANGE.,palgrave,0,96.52,4.0,0.0,6.67,7.0,8.19,1,7.5,6.8,6th and 7th grade,123.5,120.21,48.74,0.9,64.2941176470588,76.86
Carriage and Insurance Paid To (CIP),"Carriage and Insurance Paid To (CIP) is when a seller pays freight and insurance to deliver goods to a seller-appointed party at an agreed-upon location. The risk of damage or loss to the goods being transported transfers from the seller to the buyer as soon as the goods are delivered to the carrier or appointed person. It is comparable, but different to Cost, Insurance, and Freight (CIF).",investopedia,1,57.3,10.8,14.6,10.57,13.0,8.51,11,15.1666666666667,13.7,10th and 11th grade,94.1,90.59,41.34,3.1,53.179104477612,55.77
PLUS TICK,"Sale of a SECURITY at a price that is higher than the prior transac- tion, generally indicated through the display of a “+” next to the screen or tape price. A SHORT SALE can be initiated on a plus tick. Also known as UPTICK See also MINUS TICK, ZERO , ZERO MINUS TICK.",palgrave,0,70.84,7.7,9.7,5.74,6.9,8.44,9,10.1666666666667,10.0,9th and 10th grade,105.2,100.84,50.15,2.4,64.5769230769231,81.36
Home Mortgage,"A home mortgage is a loan given by a bank, mortgage company or other financial institution for the purchase of a residence—either a primary residence, a secondary residence, or an investment residence—in contrast to a piece of commercial or industrial property. In a home mortgage, the owner of the property (the borrower) transfers the title to the lender on the condition that the title will be transferred back to the owner once the final loan payment has been made and other terms of the mortgage have been met.",investopedia,1,26.82,20.5,0.0,11.27,23.5,9.23,17,29.5,22.15,20th and 21st grade,66.0,64.43,33.5,3.9,47.1818181818182,33.58
Rival Good,"A rival good is a type of product or service that can only be possessed or consumed by a single user. When a good is rival in consumption, it may be subject to strong demand and fierce competition—factors that tend to drive up prices.",investopedia,1,66.07,9.5,0.0,7.49,10.0,9.39,9,12.0,10.62,9th and 10th grade,100.4,97.05,46.05,2.6,59.2272727272727,69.65
Surplus Lines Insurance,"Surplus lines insurance protects against a financial risk that is too high for a regular insurance company to take on. Surplus line insurance can be used by companies or purchased individually. Unlike normal insurance, this insurance can be bought from an insurer not licensed in the insured’s state. However, the surplus lines insurer requires a license in the state where it is based.",investopedia,1,50.16,11.5,15.0,12.07,13.4,9.19,15,11.125,12.21,11th and 12th grade,89.4,83.98,38.73,3.6,51.6984126984127,48.21
Unicorn,"Unicorn is a term used in the venture capital industry to describe a privately held startup company with a value of over $1 billion. The term was first popularized by venture capitalist Aileen Lee, founder of CowboyVC, a seed-stage venture capital fund based in Palo Alto, California.",investopedia,1,39.16,13.6,0.0,11.49,14.2,10.85,12,15.75,13.66,13th and 14th grade,80.9,79.94,39.3,3.9,51.1276595744681,48.32
OTCQB,"The OTCQB, also called ""The Venture Market,"" is the middle tier of the over-the-counter (OTC) market for U.S. stocks. It was created in 2010 and consists mainly of early-stage and developing U.S. and international companies that are not yet able to qualify for the OTCQX but are not as speculative as the lowest-tier Pink Sheets.",investopedia,1,52.02,12.8,0.0,10.45,16.0,10.74,12,17.75,15.36,10th and 11th grade,88.8,84.19,39.72,3.3,49.7272727272727,48.46
Jim Walton,"Born on June 7, 1948, in Newport, Ark., James (Jim) Carr Walton is the third and youngest son of Walmart (WMT) founder Sam Walton. The Waltons are the richest family in America, with an estimated net worth of $215 billion in 2020.",investopedia,1,75.54,7.9,0.0,7.02,10.3,11.82,7,12.0,9.35,11th and 12th grade,107.4,102.77,47.2,2.2,58.2857142857143,69.51
Kanban,"Kanban is an inventory control system used in just-in-time (JIT) manufacturing. It was developed by Taiichi Ohno, an industrial engineer at Toyota, and takes its name from the colored cards that track production and order new shipments of parts or materials as they run out. Kanban is the Japanese word for sign, so the kanban system simply means to use visual cues to prompt the action needed to keep a process flowing.",investopedia,1,55.58,11.5,12.5,10.33,13.4,10.53,18,14.6666666666667,13.49,12th and 13th grade,92.4,87.65,41.13,3.2,53.0277777777778,53.18
excess return,Rate of return in excess of the risk-free rate.,zvi,0,87.72,3.3,0.0,4.78,3.5,7.59,1,3.5,3.6,3rd and 4th grade,119.7,114.77,52.17,0.8,79.0,86.87
MTN,See MEDIUM-TERM NOTE.,palgrave,0,93.81,0.9,0.0,7.32,9.9,9.05,1,0.5,1.2,0th and 1st grade,125.8,120.77,39.18,-3.8,125.666666666667,60.72
Revolving Door,"The term ""revolving door"" refers to the movement of high-level employees from public-sector jobs to private-sector jobs and vice versa. The idea is that there is a revolving door between the two sectors as many legislators and regulators become lobbyists and consultants for the industries they once regulated and some private industry heads or lobbyists receive government appointments that relate to their former private posts.",investopedia,1,30.03,17.1,0.0,15.27,21.3,10.59,17,24.25,19.15,-1th and 0th grade,71.7,67.95,30.4,4.3,42.0769230769231,23.83
TON,"Common reference for one hundred million. See also BUCK, YARD.",palgrave,0,66.4,5.2,0.0,7.28,6.0,8.62,2,2.0,6.0,5th and 6th grade,105.8,102.16,44.95,0.3,96.0,69.97
Exercise,"Exercise means to put into effect the right to buy or sell the underlying financial instrument specified in an options contract. In options trading, the holder of an option has the right, but not the obligation, to buy or sell the option's underlying security at a specified price on or before a specified date in the future.",investopedia,1,42.55,14.4,0.0,9.75,15.1,8.93,14,19.25,16.31,14th and 15th grade,81.8,78.87,40.47,3.7,52.3333333333333,52.23
Peril,"In insurance, a specific risk or cause of loss.",6_8_louis,1,79.26,4.4,0.0,4.78,3.5,9.35,2,5.5,12.49,3rd and 4th grade,113.7,107.85,52.17,1.4,79.0,92.25
Confidence Interval,"A confidence interval, in statistics, refers to the probability that a population parameter will fall between a set of values for a certain proportion of times.",investopedia,1,28.17,15.8,0.0,12.48,16.0,11.0,8,20.0,21.17,15th and 16th grade,72.3,68.22,36.85,4.7,48.6153846153846,43.27
Express Warranty,"An express warranty is an agreement by a seller to provide repairs or a replacement for a faulty product, component, or service within a specified time period after it was purchased. Buyers rely on these promises or guarantees and sometimes purchase items because of them.",investopedia,1,48.64,12.1,0.0,11.9,13.7,11.77,18,14.25,14.33,11th and 12th grade,87.9,83.27,39.04,3.6,51.6666666666667,47.38
Preferred Dividend,"A preferred dividend is a dividend that is allocated to and paid on a company's preferred shares. If a company is unable to pay all dividends, claims to preferred dividends take precedence over claims to dividends that are paid on common shares.",investopedia,1,58.62,10.3,0.0,10.33,12.0,8.44,8,14.5,12.21,9th and 10th grade,95.4,89.42,41.66,3.2,54.7142857142857,54.54
Globalisation,"A buzz word that refers to the trend for people, firms and governments around the world to become increasingly dependent on and integrated with each other. This can be a source of tremendous opportunity, as new markets, workers, business partners, goods and services and jobs become available, but also of competitive threat, which may undermine economic activities that were viable before globalisation.",economist,1,31.55,16.6,0.0,14.57,20.1,11.03,17,20.5,18.85,20th and 21st grade,73.2,71.33,32.1,4.2,43.3548387096774,29.7
Industrial Revolution,The Industrial Revolution was a period of major industrialization and innovation that took place during the late 1700s and early 1800s. The Industrial Revolution began in Great Britain and quickly spread throughout the world.﻿﻿,investopedia,1,37.3,12.3,0.0,15.19,14.0,8.66,6,12.0,12.68,11th and 12th grade,81.5,76.23,34.47,4.3,49.5882352941177,39.16
Coefficient of Variation (CV),"The coefficient of variation (CV) is a statistical measure of the dispersion of data points in a data series around the mean. The coefficient of variation represents the ratio of the standard deviation to the mean, and it is a useful statistic for comparing the degree of variation from one data series to another, even if the means are drastically different from one another.",investopedia,1,30.54,17.0,0.0,11.15,17.6,9.17,14,23.0,17.8,17th and 18th grade,72.2,69.7,37.47,4.2,49.46875,43.63
