terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog
PLACED BUSINESS,"An INSURANCE POLICY that has been completed and delivered to the INSURED, and where the INSURER has received itsPREMIUM.",palgrave,0,43.73,11.9,0.0,13.23,13.4,11.23,15.5,20.23
Statute of Frauds,"The statute of frauds (SOF) is a legal concept that requires certain types of contracts to be executed in writing. The statute covers contracts for the sale of land, agreements involving goods worth over $500, and contracts lasting one year or more.﻿﻿",investopedia,1,67.08,9.1,0.0,10.73,12.6,9.94,11.5,10.3
POSITIVE GAP,"A general measure of a company’s exposure to INTEREST RATE REPRICING RISK. A positive gap arises when RATE SENSITIVE ASSETS reprice faster than LIABILITIES (e.g., have shorter DURATION), meaning a company will experience a loss if rates fall and a gain if rates rise. Also known as ASSET SENSITIVE. See also GAP, GAPPING, NEGATIVE GAP.",palgrave,0,49.01,9.9,13.0,10.49,9.5,10.92,8.875,12.07
Stock Compensation,"Stock compensation is a way corporations use stock options to reward employees. Employees with stock options need to know whether their stock is vested and will retain its full value even if they are no longer employed with that company. Because tax consequences depend on the fair market value (FMV) of the stock, if the stock is subject to tax withholding, the tax must be paid in cash, even if the employee was paid by equity compensation.﻿﻿",investopedia,1,53.85,12.1,13.6,10.16,13.9,7.78,16.1666666666667,13.92
Forensic Audit,"A forensic audit examines and evaluates a firm's or individual's financial records to derive evidence used in a court of law or legal proceeding. Forensic auditing is a specialization within accounting, and most large accounting firms have a forensic auditing department. Forensic audits require accounting and auditing procedures and expert knowledge about the legal framework of such an audit.",investopedia,1,34.56,13.3,15.9,15.26,15.3,11.04,14.8333333333333,15.34
Political Action Committee (Super PAC),"In the U.S., a political action committee (PAC) is a political committee that pools campaign contributions from members and donates those funds to campaigns for or against candidates, ballot initiatives, or legislation. PACs are typically formed to represent business, labor, or ideological interests by individuals who wish to privately raise money to donate to a political campaign.",investopedia,1,17.17,17.9,0.0,15.26,19.9,12.53,21.75,19.82
LEVERAGE EFFECT,"The degree to which the use of DEBT on a company’s BALANCE SHEET impacts its EARNINGS PER SHARE and its DIVIDENDPAYOUT. Greater use of leverage magnifies earnings and losses, and its effects can be estimated via:⎝where EPS is EARNINGS PER SHARE, EBIT is EARNINGS BEFORE INTEREST AND TAXES, Δ is the change in the respective variable.",palgrave,0,51.52,13.0,0.0,11.2,15.9,11.23,17.0,15.49
STICKY DEAL,See HUNG DEAL.,palgrave,0,119.19,-2.7,0.0,-4.29,-1.2,0.15,0.5,1.2
Overhead Rate,"The overhead rate is a cost allocated to the production of a product or service. Overhead costs are expenses that are not directly tied to production such as the cost of the corporate office. To allocate overhead costs, an overhead rate is applied to the direct costs tied to production by spreading or allocating the overhead costs based on specific measures.",investopedia,1,50.87,11.2,13.6,10.85,11.9,8.53,13.5,13.37
COMPANY LIMITED BY SHARES,"In the United Kingdom, a company that issues SHARES and whose LIABILITIES are limited to the value of the shares, as noted in the MEMORANDUM OF ASSOCIATION. See also COMPANY LIMITED BY GUARANTEE.",palgrave,0,37.81,12.1,0.0,10.38,10.1,8.28,12.25,12.66
18-Hour City,"Economists and real estate investors use the term 18-hour city to describe a mid-size city with attractive amenities, higher-than-average population growth, and a lower cost of living and cost of doing business than the biggest urban areas. The 18-hour city generally has a population of under one million, making it a second-tier city.",investopedia,1,44.58,13.6,0.0,12.89,17.1,10.31,16.75,14.37
KAPPA,See VEGA.,palgrave,0,77.91,2.9,0.0,-10.31,-1.7,11.63,0.0,0.8
Trend,"A trend is the overall direction of a market or an asset's price. In technical analysis, trends are identified by trendlines or price action that highlight when the price is making higher swing highs and higher swing lows for an uptrend, or lower swing lows and lower swing highs for a downtrend.",investopedia,1,62.01,11.1,0.0,9.81,13.8,9.78,15.0,12.71
Mutual Insurance Company,"A mutual insurance company is an insurance company that is owned by policyholders. The sole purpose of a mutual insurance company is to provide insurance coverage for its members and policyholders, and its members are given the right to select management. Mutual insurance companies make investments in portfolios like a regular mutual fund, with any profits returned to members as dividends or a reduction in premiums. Federal law, rather than state law, determines whether an insurer can be classified as a mutual insurance company.",investopedia,1,33.24,13.8,18.8,13.46,14.5,9.19,18.0,16.02
BASIS,"The price differential between an underlying ASSET reference and a DERIVATIVE contract used as a HEDGE. The basis arises as a result of differ- ences in SUPPLY/DEMAND, reference INDEXES, or FRICTION COSTS (includ- ing COST OF CARRY, storage, INSURANCE, transportation). See also  RISK, NEGATIVE , POSITIVE .",palgrave,0,30.87,12.7,14.1,13.68,13.3,13.15,11.5,14.0
Financial Literacy,"Financial literacy is the ability to understand and effectively use various financial skills, including personal financial management, budgeting, and investing. Financial literacy is the foundation of your relationship with money, and it is a lifelong journey of learning. The earlier you start, the better off you will be, because education is the key to success when it comes to money.",investopedia,1,25.8,14.6,17.5,13.58,14.3,9.63,16.3333333333333,17.33
credit-rating agencies,Investment advisory firms that rate the quality of corporate and municipal bonds in terms of the probability of default.,fmi,0,26.81,14.2,0.0,13.58,13.4,12.89,15.5,20.23
Communes,Communes,ncert_keec111,1,36.62,8.4,0.0,1.0,16.8,19.48,-0.5,0.4
BLENDED RISK,A FINITE RISK program that also includes a small amount of RISK TRANSFER. See also BLENDED FINITE RISK.,palgrave,0,79.26,4.4,0.0,8.03,5.6,9.35,3.5,3.6
Qualified Domestic Trust (QDOT),"A qualified domestic trust (QDOT) is a special kind of trust that allows taxpayers who survive a deceased spouse to take the marital deduction on estate taxes, even if the surviving spouse is not a U.S. citizen.",investopedia,1,42.38,16.5,0.0,9.93,19.5,12.3,25.5,21.29
SECURED DEBT,"A BOND or LOAN that is collateralized by a CLAIM on the ASSETS of the BORROWER/ISSUER. Secured debt holders rank above all other claimholders in the event the borrower/issuer DEFAULTS. See also SENIOR DEBT, SUBORDINATED DEBT.",palgrave,0,59.3,8.0,9.7,11.47,9.4,10.81,6.33333333333333,8.13
Diamonds,Diamonds is an informal term for an index-based exchange-traded fund (ETF) known as the SPDR Dow Jones Industrial Average ETF. The Diamonds ETF trades on the NYSE Arca exchange under the ticker symbol DIA. The ETF's objective is to provide returns that mirror the price and yield performance of the Dow Jones Industrial Average (DJIA).,investopedia,1,52.9,10.4,13.6,11.31,11.8,11.72,12.5,11.68
Judgment Lien,"A judgment lien is a court ruling that gives a creditor the right to take possession of a debtor's real or personal property if the debtor fails to fulfill his or her contractual obligations. This lien may be made against an individual or business and allows the creditor to access assets such as the debtor's business, personal property, and real estate to satisfy the judgment.",investopedia,1,38.49,16.0,0.0,10.86,17.7,10.11,21.75,17.92
Economic efficiency,See  effciency.,sam,1,-49.0,20.6,0.0,4.2,10.2,11.63,1.0,20.8
Noninterest Expense,A noninterest expense is an operating expense of a bank or financial institution that is classified separately from interest expense and provision for credit losses. Examples of noninterest expenses include:,investopedia,1,13.95,15.0,0.0,16.17,14.0,11.75,13.0,19.33
INVESTMENT ANALYST,"An analyst working for a BANK or other FINANCIAL INSTITUTION that is responsible for analyzing the financial state and pros- pects of a company that is an ISSUER of EQUITY or DEBT, with a view toward developing a recommendation on whether to buy, sell, or retain a position in the issuer’s SECURITIES. Investment analysts rely on FINANCIAL ANALYSIS, FUNDAMENTAL ANALYSIS, and/or TECHNICAL ANALYSIS to develop their recommendations. See also CREDIT ANALYST, EQUITY ANALYST.into BANK HOLDING COMPANIES. See also BOUTIQUE, MERCHANT BANK,UNIVERSAL BANK.",palgrave,0,16.83,16.0,18.0,14.74,15.7,10.82,17.0,17.47
FIXED CHARGE COVERAGE,"A measure of a company’s ability to repay its PRINCIPAL AMORTIZATION, INTEREST, LEASE payments, and other fixed charges with pretax EARNINGS. Fixed charge coverage is computed via:where EBFC equals earnings before fixed charges, Tax is income tax paid, and FC is fixed charges.The larger the ratio, the greater the company’s ability to cover its obliga- tions. See also DEBT SERVICE COVERAGE, INTEREST COVERAGE, TIMES INTEREST EARNED.",palgrave,0,40.69,13.1,15.0,13.92,15.9,10.71,15.3333333333333,13.04
Expedited Funds Availability Act (EFAA),"The Expedited Funds Availability Act (EFAA) was implemented to regulate the hold periods on deposits made to commercial banks. Enacted by the U.S. Congress in 1987, the EFAA also standardized financial institutions' use of the deposit holds. The EFAA specifies the types of holds that banks can utilize on a check deposit, depending on the type of account and the amount of the deposit.",investopedia,1,55.24,9.5,13.0,10.79,10.4,10.35,11.0,13.9
REAL INTEREST RATE,"The core level of INTEREST RATES, excluding the effects of INFLATION, typically computed as:=11 + rinfwhere rreal is the real rate, rnom is the nominal rate, and rinf is the inflation rate. See also NOMINAL INTEREST RATE, REAL YIELD.",palgrave,0,43.73,11.9,0.0,10.97,12.2,10.81,14.25,13.92
state-owned banks,Banks that are owned by govern-ments.,fmi,0,90.77,2.1,0.0,8.17,6.7,11.83,3.0,2.4
Budget functions,"A spending classifications system used for federal budgeting that identifies a specific national need (e.g., national defense or health); includes sub functions.",6_8_louis,1,15.31,16.6,0.0,17.81,19.5,14.06,18.0,19.71
Vintage Year,"The term ""vintage year"" refers to the milestone year in which the first influx of investment capital is delivered to a project or company. This marks the moment when capital is committed by a venture capital fund, a private equity fund or a combination of sources. Investors may cite the vintage year in order to gauge a potential return on investment (ROI).",investopedia,1,58.92,10.2,14.1,9.75,11.5,9.76,14.0,12.15
Withholding,"Withholding is the portion of an employee's wages that is not included in their paycheck but is instead remitted directly to the federal, state, or local tax authorities. Withholding reduces the amount of tax employees must pay when they submit their annual tax returns. The employee's income, marital status, number of dependents, and number of jobs all determine the amount withheld.",investopedia,1,42.41,12.4,15.5,12.65,13.8,10.34,14.8333333333333,15.99
